step,value
0,-9.999999747378752e-05
1,-9.999999747378752e-05
2,-9.999999747378752e-05
3,-9.999999747378752e-05
4,-9.999999747378752e-05
5,-9.999999747378752e-05
6,-9.999999747378752e-05
7,-9.999999747378752e-05
8,-9.999999747378752e-05
9,-9.999999747378752e-05
10,-9.999999747378752e-05
11,-9.999999747378752e-05
12,-9.999999747378752e-05
13,-9.999999747378752e-05
14,-9.999999747378752e-05
15,-9.999999747378752e-05
16,-9.999999747378752e-05
17,-9.999999747378752e-05
18,-9.999999747378752e-05
19,-9.999999747378752e-05
20,-9.999999747378752e-05
21,-9.999999747378752e-05
22,-9.999999747378752e-05
23,-9.999999747378752e-05
24,-9.999999747378752e-05
25,-9.999999747378752e-05
26,-9.999999747378752e-05
27,-9.999999747378752e-05
28,-9.999999747378752e-05
29,-9.999999747378752e-05
30,-9.999999747378752e-05
31,-9.999999747378752e-05
32,-9.999999747378752e-05
33,-9.999999747378752e-05
34,-9.999999747378752e-05
35,-9.999999747378752e-05
36,-9.999999747378752e-05
37,-9.999999747378752e-05
38,-9.999999747378752e-05
39,-9.999999747378752e-05
40,-9.999999747378752e-05
41,-9.999999747378752e-05
42,-9.999999747378752e-05
43,-9.999999747378752e-05
44,-9.999999747378752e-05
45,-9.999999747378752e-05
46,-9.999999747378752e-05
47,-9.999999747378752e-05
48,-9.999999747378752e-05
49,-9.999999747378752e-05
50,-9.999999747378752e-05
51,-9.999999747378752e-05
52,-9.999999747378752e-05
53,-9.999999747378752e-05
54,-9.999999747378752e-05
55,-9.999999747378752e-05
56,-9.999999747378752e-05
57,-9.999999747378752e-05
58,-9.999999747378752e-05
59,-9.999999747378752e-05
60,-9.999999747378752e-05
61,-9.999999747378752e-05
62,-9.999999747378752e-05
63,-9.999999747378752e-05
64,-9.999999747378752e-05
65,-9.999999747378752e-05
66,-9.999999747378752e-05
67,-9.999999747378752e-05
68,-9.999999747378752e-05
69,-9.999999747378752e-05
70,-9.999999747378752e-05
71,-9.999999747378752e-05
72,-9.999999747378752e-05
73,-9.999999747378752e-05
74,-9.999999747378752e-05
75,-9.999999747378752e-05
76,-9.999999747378752e-05
77,-9.999999747378752e-05
78,-9.999999747378752e-05
79,-9.999999747378752e-05
80,-9.999999747378752e-05
81,-9.999999747378752e-05
82,-9.999999747378752e-05
83,-9.999999747378752e-05
84,-9.999999747378752e-05
85,-9.999999747378752e-05
86,-9.999999747378752e-05
87,-9.999999747378752e-05
88,-9.999999747378752e-05
89,-9.999999747378752e-05
90,-9.999999747378752e-05
91,-9.999999747378752e-05
92,-9.999999747378752e-05
93,-9.999999747378752e-05
94,-9.999999747378752e-05
95,-9.999999747378752e-05
96,-9.999999747378752e-05
97,-9.999999747378752e-05
98,-9.999999747378752e-05
99,-9.999999747378752e-05
100,-9.999999747378752e-05
101,-9.999999747378752e-05
102,-9.999999747378752e-05
103,-9.999999747378752e-05
104,-9.999999747378752e-05
105,-9.999999747378752e-05
106,-9.999999747378752e-05
107,-9.999999747378752e-05
108,-9.999999747378752e-05
109,-9.999999747378752e-05
110,-9.999999747378752e-05
111,-9.999999747378752e-05
112,-9.999999747378752e-05
113,-9.999999747378752e-05
114,-9.999999747378752e-05
115,-9.999999747378752e-05
116,-9.999999747378752e-05
117,-9.999999747378752e-05
118,-9.999999747378752e-05
119,-9.999999747378752e-05
120,-9.999999747378752e-05
121,-9.999999747378752e-05
122,-9.999999747378752e-05
123,-9.999999747378752e-05
124,-9.999999747378752e-05
125,-9.999999747378752e-05
126,-9.999999747378752e-05
127,-9.999999747378752e-05
128,-9.999999747378752e-05
129,-9.999999747378752e-05
130,-9.999999747378752e-05
131,-9.999999747378752e-05
132,-9.999999747378752e-05
133,-9.999999747378752e-05
134,-9.999999747378752e-05
135,-9.999999747378752e-05
136,-9.999999747378752e-05
137,-9.999999747378752e-05
138,-9.999999747378752e-05
139,-9.999999747378752e-05
140,-9.999999747378752e-05
141,-9.999999747378752e-05
142,-9.999999747378752e-05
143,-9.999999747378752e-05
144,-9.999999747378752e-05
145,-9.999999747378752e-05
146,-9.999999747378752e-05
147,-9.999999747378752e-05
148,-9.999999747378752e-05
149,-9.999999747378752e-05
150,-9.999999747378752e-05
151,-9.999999747378752e-05
152,-9.999999747378752e-05
153,-9.999999747378752e-05
154,-9.999999747378752e-05
155,-9.999999747378752e-05
156,-9.999999747378752e-05
157,-9.999999747378752e-05
158,-9.999999747378752e-05
159,-9.999999747378752e-05
160,-9.999999747378752e-05
161,-9.999999747378752e-05
162,-9.999999747378752e-05
163,-9.999999747378752e-05
164,-9.999999747378752e-05
165,-9.999999747378752e-05
166,-9.999999747378752e-05
167,-9.999999747378752e-05
168,-9.999999747378752e-05
169,-9.999999747378752e-05
170,-9.999999747378752e-05
171,-9.999999747378752e-05
172,-9.999999747378752e-05
173,-9.999999747378752e-05
174,-9.999999747378752e-05
175,-9.999999747378752e-05
176,-9.999999747378752e-05
177,-9.999999747378752e-05
178,-9.999999747378752e-05
179,-9.999999747378752e-05
180,-9.999999747378752e-05
181,-9.999999747378752e-05
182,-9.999999747378752e-05
183,-9.999999747378752e-05
184,-9.999999747378752e-05
185,-9.999999747378752e-05
186,-9.999999747378752e-05
187,-9.999999747378752e-05
188,-9.999999747378752e-05
189,-9.999999747378752e-05
190,-9.999999747378752e-05
191,-9.999999747378752e-05
192,-9.999999747378752e-05
193,-9.999999747378752e-05
194,-9.999999747378752e-05
195,-9.999999747378752e-05
196,-9.999999747378752e-05
197,-9.999999747378752e-05
198,-9.999999747378752e-05
199,-9.999999747378752e-05
200,-9.999999747378752e-05
201,-9.999999747378752e-05
202,-9.999999747378752e-05
203,-9.999999747378752e-05
204,-9.999999747378752e-05
205,-9.999999747378752e-05
206,-9.999999747378752e-05
207,-9.999999747378752e-05
208,-9.999999747378752e-05
209,-9.999999747378752e-05
210,-9.999999747378752e-05
211,-9.999999747378752e-05
212,-9.999999747378752e-05
213,-9.999999747378752e-05
214,-9.999999747378752e-05
215,-9.999999747378752e-05
216,-9.999999747378752e-05
217,-9.999999747378752e-05
218,-9.999999747378752e-05
219,-9.999999747378752e-05
220,-9.999999747378752e-05
221,-9.999999747378752e-05
222,-9.999999747378752e-05
223,-9.999999747378752e-05
224,-9.999999747378752e-05
225,-9.999999747378752e-05
226,-9.999999747378752e-05
227,-9.999999747378752e-05
228,-9.999999747378752e-05
229,-9.999999747378752e-05
230,-9.999999747378752e-05
231,-9.999999747378752e-05
232,-9.999999747378752e-05
